code,code1,code2,code3,label,slug
F1108,F,11,08,Métré de la construction,metre-de-la-construction
F1201,F,12,01,Conduite de travaux du BTP,conduite-de-travaux-du-btp
F1202,F,12,02,Direction de chantier du BTP,direction-de-chantier-du-btp
F1203,F,12,03,Direction et ingénierie d'exploitation de gisements et de carrières,direction-et-ingenierie-d-exploitation-de-gisements-et-de-carrieres
F1204,F,12,04,Sécurité et protection santé du BTP,securite-et-protection-sante-du-btp
F1301,F,13,01,Conduite de grue,conduite-de-grue
F1302,F,13,02,Conduite d'engins de terrassement et de carrière,conduite-d-engins-de-terrassement-et-de-carriere
F1401,F,14,01,Extraction liquide et gazeuse,extraction-liquide-et-gazeuse
F1402,F,14,02,Extraction solide,extraction-solide
F1501,F,15,01,Montage de structures et de charpentes bois,montage-de-structures-et-de-charpentes-bois
F1502,F,15,02,Montage de structures métalliques,montage-de-structures-metalliques
F1503,F,15,03,Réalisation - installation d'ossatures bois,realisation-installation-d-ossatures-bois
F1601,F,16,01,"Application et décoration en plâtre, stuc et staff",application-et-decoration-en-platre-stuc-et-staff
F1602,F,16,02,Électricité bâtiment,electricite-batiment
F1603,F,16,03,Installation d'équipements sanitaires et thermiques,installation-d-equipements-sanitaires-et-thermiques
F1604,F,16,04,Montage d'agencements,montage-d-agencements
F1605,F,16,05,Montage de réseaux électriques et télécoms,montage-de-reseaux-electriques-et-telecoms
F1606,F,16,06,Peinture en bâtiment,peinture-en-batiment
F1607,F,16,07,Pose de fermetures menuisées,pose-de-fermetures-menuisees
F1608,F,16,08,Pose de revêtements rigides,pose-de-revetements-rigides
F1609,F,16,09,Pose de revêtements souples,pose-de-revetements-souples
F1610,F,16,10,Pose et restauration de couvertures,pose-et-restauration-de-couvertures
F1611,F,16,11,Réalisation et restauration de façades,realisation-et-restauration-de-facades
F1612,F,16,12,Taille et décoration de pierres,taille-et-decoration-de-pierres
F1613,F,16,13,Travaux d'étanchéité et d'isolation,travaux-d-etancheite-et-d-isolation
F1701,F,17,01,Construction en béton,construction-en-beton
F1702,F,17,02,Construction de routes et voies,construction-de-routes-et-voies
F1703,F,17,03,Maçonnerie,maconnerie
F1704,F,17,04,Préparation du gros oeuvre et des travaux publics,preparation-du-gros-oeuvre-et-des-travaux-publics
F1705,F,17,05,Pose de canalisations,pose-de-canalisations
F1706,F,17,06,Préfabrication en béton industriel,prefabrication-en-beton-industriel
G1101,G,11,01,Accueil touristique,accueil-touristique
G1102,G,11,02,Promotion du tourisme local,promotion-du-tourisme-local
G1201,G,12,01,"Accompagnement de voyages, d'activités culturelles ou sportives",accompagnement-de-voyages-d-activites-culturelles-ou-sportives
G1202,G,12,02,Animation d'activités culturelles ou ludiques,animation-d-activites-culturelles-ou-ludiques
G1203,G,12,03,Animation de loisirs auprès d'enfants ou d'adolescents,animation-de-loisirs-aupres-d-enfants-ou-d-adolescents
G1204,G,12,04,Éducation en activités sportives,education-en-activites-sportives
G1205,G,12,05,Personnel d'attractions ou de structures de loisirs,personnel-d-attractions-ou-de-structures-de-loisirs
G1206,G,12,06,Personnel technique des jeux,personnel-technique-des-jeux
G1301,G,13,01,Conception de produits touristiques,conception-de-produits-touristiques
G1302,G,13,02,Optimisation de produits touristiques,optimisation-de-produits-touristiques
G1303,G,13,03,Vente de voyages,vente-de-voyages
G1401,G,14,01,Assistance de direction d'hôtel-restaurant,assistance-de-direction-d-hotel-restaurant
G1402,G,14,02,Management d'hôtel-restaurant,management-d-hotel-restaurant
G1403,G,14,03,Gestion de structure de loisirs ou d'hébergement touristique,gestion-de-structure-de-loisirs-ou-d-hebergement-touristique
G1404,G,14,04,Management d'établissement de restauration collective,management-d-etablissement-de-restauration-collective
G1501,G,15,01,Personnel d'étage,personnel-d-etage
G1502,G,15,02,Personnel polyvalent d'hôtellerie,personnel-polyvalent-d-hotellerie
G1503,G,15,03,Management du personnel d'étage,management-du-personnel-d-etage
G1601,G,16,01,Management du personnel de cuisine,management-du-personnel-de-cuisine
G1602,G,16,02,Personnel de cuisine,personnel-de-cuisine
G1603,G,16,03,Personnel polyvalent en restauration,personnel-polyvalent-en-restauration
G1604,G,16,04,Fabrication de crêpes ou pizzas,fabrication-de-crepes-ou-pizzas
G1605,G,16,05,Plonge en restauration,plonge-en-restauration
G1701,G,17,01,Conciergerie en hôtellerie,conciergerie-en-hotellerie
G1702,G,17,02,Personnel du hall,personnel-du-hall
G1703,G,17,03,Réception en hôtellerie,reception-en-hotellerie
G1801,G,18,01,"Café, bar brasserie",cafe-bar-brasserie
G1802,G,18,02,Management du service en restauration,management-du-service-en-restauration
G1803,G,18,03,Service en restauration,service-en-restauration
G1804,G,18,04,Sommellerie,sommellerie
H1101,H,11,01,Assistance et support technique client,assistance-et-support-technique-client
H1102,H,11,02,Management et ingénierie d'affaires,management-et-ingenierie-d-affaires
H1201,H,12,01,Expertise technique couleur en industrie,expertise-technique-couleur-en-industrie
H1202,H,12,02,Conception et dessin de produits électriques et électroniques,conception-et-dessin-de-produits-electriques-et-electroniques
H1203,H,12,03,Conception et dessin produits mécaniques,conception-et-dessin-produits-mecaniques
H1204,H,12,04,Design industriel,design-industriel
H1205,H,12,05,Études - modèles en industrie des matériaux souples,etudes-modeles-en-industrie-des-materiaux-souples
H1206,H,12,06,"Management et ingénierie études, recherche et développement industriel",management-et-ingenierie-etudes-recherche-et-developpement-industriel
H1207,H,12,07,Rédaction technique,redaction-technique
H1208,H,12,08,Intervention technique en études et conception en automatisme,intervention-technique-en-etudes-et-conception-en-automatisme
H1209,H,12,09,Intervention technique en études et développement électronique,intervention-technique-en-etudes-et-developpement-electronique
H1210,H,12,10,"Intervention technique en études, recherche et développement",intervention-technique-en-etudes-recherche-et-developpement
H1301,H,13,01,Inspection de conformité,inspection-de-conformite
H1302,H,13,02,Management et ingénierie Hygiène Sécurité Environnement -HSE- industriels,management-et-ingenierie-hygiene-securite-environnement-hse-industriels
H1303,H,13,03,Intervention technique en Hygiène Sécurité Environnement -HSE- industriel,intervention-technique-en-hygiene-securite-environnement-hse-industriel
H1401,H,14,01,Management et ingénierie gestion industrielle et logistique,management-et-ingenierie-gestion-industrielle-et-logistique
H1402,H,14,02,Management et ingénierie méthodes et industrialisation,management-et-ingenierie-methodes-et-industrialisation
H1403,H,14,03,Intervention technique en gestion industrielle et logistique,intervention-technique-en-gestion-industrielle-et-logistique
H1404,H,14,04,Intervention technique en méthodes et industrialisation,intervention-technique-en-methodes-et-industrialisation
H1501,H,15,01,Direction de laboratoire d'analyse industrielle,direction-de-laboratoire-d-analyse-industrielle
H1502,H,15,02,Management et ingénierie qualité industrielle,management-et-ingenierie-qualite-industrielle
