code_insee,rome,rome_connexe,score
90049,F1101,F1106,0.8628549091400332
90049,F1101,C1503,0.34131181491522444
95395,F1101,F1102,0.24687100986932609
95395,F1101,F1106,0.8628549091400332
95395,F1101,C1503,0.34131181491522444
01110,G1802,E1107,0.846338318732996
01110,G1802,G1401,0.14033298016519657
01110,G1802,G1402,0.7783268643570822
01128,G1802,E1107,0.846338318732996
01128,G1802,G1401,0.14033298016519657
01128,G1802,G1402,0.7783268643570822
02100,G1802,E1107,0.846338318732996
02100,G1802,G1401,0.14033298016519657
02100,G1802,G1402,0.7783268643570822
02368,G1802,E1107,0.846338318732996
02368,G1802,G1401,0.14033298016519657
02368,G1802,G1402,0.7783268643570822
02407,G1802,E1107,0.846338318732996
02407,G1802,G1401,0.14033298016519657
02407,G1802,G1402,0.7783268643570822
02491,G1802,E1107,0.846338318732996
02491,G1802,G1401,0.14033298016519657
02491,G1802,G1402,0.7783268643570822
02514,G1802,E1107,0.846338318732996
02514,G1802,G1401,0.14033298016519657
02514,G1802,G1402,0.7783268643570822
06089,G1802,E1107,0.846338318732996
06089,G1802,G1401,0.14033298016519657
06089,G1802,G1402,0.7783268643570822
06159,G1802,E1107,0.846338318732996
06159,G1802,G1401,0.14033298016519657
06159,G1802,G1402,0.7783268643570822
08145,G1802,E1107,0.846338318732996
08145,G1802,G1401,0.14033298016519657
08145,G1802,G1402,0.7783268643570822
08338,G1802,E1107,0.846338318732996
08338,G1802,G1401,0.14033298016519657
08338,G1802,G1402,0.7783268643570822
09026,G1802,E1107,0.846338318732996
09026,G1802,G1401,0.14033298016519657
09026,G1802,G1402,0.7783268643570822
09080,G1802,E1107,0.846338318732996
09080,G1802,G1401,0.14033298016519657
09080,G1802,G1402,0.7783268643570822
10242,G1802,E1107,0.846338318732996
10242,G1802,G1401,0.14033298016519657
10242,G1802,G1402,0.7783268643570822
10317,G1802,E1107,0.846338318732996
10317,G1802,G1401,0.14033298016519657
10317,G1802,G1402,0.7783268643570822
10378,G1802,E1107,0.846338318732996
10378,G1802,G1401,0.14033298016519657
10378,G1802,G1402,0.7783268643570822
11005,G1802,E1107,0.846338318732996
11005,G1802,G1401,0.14033298016519657
11005,G1802,G1402,0.7783268643570822
11218,G1802,E1107,0.846338318732996
11218,G1802,G1401,0.14033298016519657
11218,G1802,G1402,0.7783268643570822
11234,G1802,E1107,0.846338318732996
11234,G1802,G1401,0.14033298016519657
11234,G1802,G1402,0.7783268643570822
17125,G1802,E1107,0.846338318732996
