rome_id|rome_label
11390|Attaché commercial / Attachée commerciale tourisme
11391|Attaché / Attachée de clientèle de banque
11395|Attaché / Attachée de direction
11397|Attaché / Attachée de presse
11398|Attaché / Attachée de recherche clinique en industrie
11399|Attaché / Attachée de recherche clinique pharmaceutique en industrie
11402|Attaché technico-commercial / Attachée technico-commerciale
11409|Auditeur / Auditrice de gestion d'entreprise
11415|Auditeur / Auditrice qualité en industrie
11433|Auteur-compositeur / Auteure-compositrice
11434|Auteur-compositeur-interprète / Auteure-compositrice-interprète
11435|Auteur-interprète / Auteure-interprète
11445|Auxiliaire de bureau
11446|Auxiliaire de gériatrie
11447|Auxiliaire de gérontologie
11448|Auxiliaire de puériculture
11453|Auxiliaire de vie
11454|Auxiliaire de vie scolaire
11455|Auxiliaire de vie sociale auprès d'enfants
11456|Auxiliaire de Vie Sociale -AVS-
11457|Auxiliaire d'Intégration Scolaire -AIS-
11459|Auxiliaire familiale
11460|Auxiliaire familiale et sanitaire
11462|Auxiliaire parental / parentale
11466|Avéjiste
11469|Avocat / Avocate
11470|Avocat / Avocate au conseil
11471|Avocat / Avocate d'affaires
11472|Avocat / Avocate du droit des personnes
11473|Avocat / Avocate en droit de la propriété industrielle
11474|Avocat / Avocate en droit de l'informatique
11475|Avocat / Avocate en droit des nouvelles technologies
11476|Avocat / Avocate fiscaliste
11478|Avocat / Avocate pénaliste
11479|Avoué / Avouée de cour d'appel
11480|Baby-sitter
11484|Bagagiste manutentionnaire
11489|Bancheur / Bancheuse
11490|Bancheur-coffreur / Bancheuse-coffreuse
11494|Barman / Barmaid
11496|Bâtisseur / Bâtisseuse du génie militaire
11498|Batteur / Batteuse de pieux
11503|Bétonneur / Bétonneuse
11504|Bétonnier / Bétonnière
11505|Betteravier / Betteravière
11517|Biochimiste en laboratoire d'analyse industrielle
11518|Biochimiste en laboratoire de contrôle en industrie
11521|"Bioinformaticien / Bioinformaticienne en études, recherche et développement"
11523|Biologiste de contrôle fabrication en industrie
11529|Biscuitier / Biscuitière
11551|Boiseur / Boiseuse
11558|Borneur / Borneuse
11564|Boucher / Bouchère
11565|Boucher / Bouchère chevalin
11566|Boucher désosseur / Bouchère désosseuse
11567|Boucher / Bouchère hippophagique
11569|Boucher-charcutier / Bouchère-charcutière
11570|Boucher-traiteur / Bouchère-traiteuse
11571|Boucher-tripier / Bouchère-tripière
11572|Boucher-volailler / Bouchère-volaillère
11573|Boulanger / Boulangère
11574|Boulanger-pâtissier / Boulangère-pâtissière
11575|Boulanger-pâtissier-traiteur / Boulangère-pâtissière-traiteuse
11576|Boulanger-traiteur / Boulangère-traiteuse
11587|Brancardier / Brancardière
11588|Braseur / Braseuse
11589|Brasqueur / Brasqueuse
11591|Brasseur / Brasseuse en salle de commande
11596|Briqueteur / Briqueteuse
11608|Bulbiculteur / Bulbicultrice
11609|Buraliste
11610|Câbleur / Câbleuse d'armoires
11611|Câbleur / Câbleuse de boîtiers d'équipements électriques
11613|Câbleur / Câbleuse de matériels électriques
11614|Câbleur / Câbleuse de matériels électromécaniques
11616|Câbleur électricien / Câbleuse électricienne en aéronautique
11617|Câbleur électromécanicien / Câbleuse électromécanicienne
11618|Câbleur / Câbleuse en appareillage haute tension
11633|Cadre éducatif / éducative de l'enseignement privé
11636|Cadre technico-commercial / technico-commerciale
11637|Cadre technique sportif / sportive
11639|Cafetier / Cafetière
11640|Caissier / Caissière
11641|Caissier / Caissière de bureau de change
11642|Caissier / Caissière de casino
11643|Caissier / Caissière de parking
11644|Caissier / Caissière de station-service
11645|Caissier / Caissière en libre-service
11646|Caissier / Caissière pompiste
11647|Caissier / Caissière roller
11648|Caissier / Caissière spectacle
11652|Calculateur / Calculatrice études en mécanique
